id;tmdb;title;genres;popularity;year;runtime;cast;keywords;similar
68;89;Indiana Jones and the Last Crusade;['Adventure', 'Action'];48;1989;127;['Harrison Ford', 'Sean Connery', 'Denholm Elliott'];[];[11589, 12651, 418223]
46;309;Festen;['Drama'];13;1998;105;['Ulrich Thomsen', 'Henning Moritzen', 'Thomas Bo Larsen'];[];[588962, 22618, 22640]
135;239;Some Like It Hot;['Comedy', 'Romance', 'Crime'];29;1959;122;['Tony Curtis', 'Jack Lemmon', 'Marilyn Monroe'];[];[6557, 8933, 8978]
71;5915;Into the Wild;['Adventure', 'Drama'];29;2007;148;['Emile Hirsch', 'Marcia Gay Harden', 'William Hurt'];[];[263373, 588909, 22638]
121;1366;Rocky;['Drama'];48;1976;120;['Sylvester Stallone', 'Talia Shire', 'Burt Young'];[];[578211, 11550, 11590]
34;903;Cool Hand Luke;['Action', 'Drama', 'Crime'];17;1967;127;['Paul Newman', 'George Kennedy', 'Luke Askew'];[];[11560, 11568, 11576]
3;20453;3 Idiots;['Drama', 'Comedy'];23;2009;171;['Aamir Khan', 'R. Madhavan', 'Sharman Joshi'];[];[929170, 588962, 22609]
130;187;Sin City;['Thriller', 'Action', 'Crime'];33;2005;124;['Bruce Willis', 'Jessica Alba', 'Clive Owen'];[];[572480, 6479, 8974]
87;19;Metropolis;['Drama', 'Science Fiction'];25;1927;148;['Gustav Fröhlich', 'Brigitte Helm', 'Alfred Abel'];[];[263341, 263371, 588957]
142;103;Taxi Driver;['Crime', 'Drama'];53;1976;114;['Robert De Niro', 'Jodie Foster', 'Cybill Shepherd'];[];[572457, 6468, 6479]
72;77338;Intouchables;['Drama', 'Comedy'];57;2011;113;['François Cluzet', 'Omar Sy', 'Dominique Henry'];[];[243706, 409502, 6382]
162;914;The Great Dictator;['Comedy', 'War'];25;1940;125;['Charlie Chaplin', 'Paulette Goddard', 'Jack Oakie'];[];[252707, 11561, 11589]
141;7508;तारे ज़मीन पर;['Drama'];28;2007;162;['Darsheel Safary', 'Tisca Chopra', 'Vipin Sharma'];[];[11532, 11564, 12568]
109;792;Platoon;['Drama', 'War', 'Action'];31;1986;120;['Charlie Sheen', 'Willem Dafoe', 'Tom Berenger'];[];[11532, 11551, 11594]
